Day;Name;Stars;Solutions
1;`Inverse Captcha <https://adventofcode.com/2017/day/1>`_;⭐️⭐️;`F# </2017/fsharp/Day01/Program.fs>`_
2;`Corruption Checksum <https://adventofcode.com/2017/day/2>`_;⭐️⭐️;`F# </2017/fsharp/Day02/Program.fs>`_
3;`Spiral Memory <https://adventofcode.com/2017/day/3>`_;⭐️;`F# </2017/fsharp/Day03/Program.fs>`_
4;`High-Entropy Passphrases <https://adventofcode.com/2017/day/4>`_;⭐️⭐️;`F# </2017/fsharp/Day04/Program.fs>`_
5;`A Maze of Twisty Trampolines, All Alike <https://adventofcode.com/2017/day/5>`_;⭐️⭐️;`F# </2017/fsharp/Day05/Program.fs>`_
6;`Memory Reallocation <https://adventofcode.com/2017/day/6>`_;⭐️⭐️;`F# </2017/fsharp/Day06/Program.fs>`_
7;`Recursive Circus <https://adventofcode.com/2017/day/7>`_;⭐️⭐️;`F# </2017/fsharp/Day07/Program.fs>`_
8;`I Heard You Like Registers <https://adventofcode.com/2017/day/8>`_;⭐️⭐️;`F# </2017/fsharp/Day08/Program.fs>`_
9;`Stream Processing <https://adventofcode.com/2017/day/9>`_;⭐️⭐️;`F# </2017/fsharp/Day09/Program.fs>`_
10;`Knot Hash <https://adventofcode.com/2017/day/10>`_;;
11;`Hex Ed <https://adventofcode.com/2017/day/11>`_;;
12;`Digital Plumber <https://adventofcode.com/2017/day/12>`_;;
13;`Packet Scanners <https://adventofcode.com/2017/day/13>`_;;
14;`Disk Defragmentation <https://adventofcode.com/2017/day/14>`_;;
15;`Dueling Generators <https://adventofcode.com/2017/day/15>`_;;
16;`Permutation Promenade <https://adventofcode.com/2017/day/16>`_;;
17;`Spinlock <https://adventofcode.com/2017/day/17>`_;;
18;`Duet <https://adventofcode.com/2017/day/18>`_;;
19;`A Series of Tubes <https://adventofcode.com/2017/day/19>`_;;
20;`Particle Swarm <https://adventofcode.com/2017/day/20>`_;;
21;`Fractal Art <https://adventofcode.com/2017/day/21>`_;;
22;`Sporifica Virus <https://adventofcode.com/2017/day/22>`_;;
23;`Coprocessor Conflagration <https://adventofcode.com/2017/day/23>`_;;
24;`Electromagnetic Moat <https://adventofcode.com/2017/day/24>`_;;
25;`The Halting Problem <https://adventofcode.com/2017/day/25>`_;;
